#Data for HBC 1989:2011
#syr, nyr, dt
1989 2011 0.25
#Number of gears
2
#nbin
45
#xbin
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24
25 26 27 28 29
30 31 32 33 34
35 36 37 38 39
40 41 42 43 44
45 46 47 48 49
#Array dimensions (rows,  cols) for each gear in (C M R)
92 47
92 47
#Captures by year (row) and length (col)
1998 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 4 3 4 3 1 1 1 0 0 0 0 0 0
1998 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 1 0 0 0 0 0 1 1 2 0 1 2 1 3 3 2 3 4 2 1 5 0 0 0 0 0 0 0 0
1998 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1999 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 1 1 0 2 1 0 2 3 6 3 6 3 5 1 0 0 0 0 0 0
1999 3 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 1 1 0 0 1 0 0 0 1 1 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
1999 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 1 0 1 1 0 2 3 2 2 0 0 1 0 0 0 0 0
2000 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2000 3 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 1 0 0 0 0 0 1 1 3 0 0 3 2 4 3 6 3 6 3 3 3 2 1 0 1 0 0
2000 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 2 0 4 0 0 1 1 0 0 0 0 0
2001 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 0 1 0 1 0 1 0 0 0 0 0 2 0 4 8 11 3 4 2 0 1 0 1 0 0 0
2001 3 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 6 8 7 2 5 1 1 0 0 3 2 0 4 2 6 13 15 15 20 26 18 15 6 4 1 1 0 0 0 1
2001 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2002 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
2002 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2003 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
