#K linf phi
0.278469 73.653 80.1512
0.291013 72.8619 80.3172
0.281379 73.5697 81.1583
0.286419 73.074 76.5627
0.282595 73.4061 79.0556
0.274689 73.8386 80.304
0.266527 74.8247 80.1466
0.292644 72.4456 80.4861
0.286164 73.1632 79.2789
0.280638 73.4969 77.8869
0.274769 74.0157 78.5454
0.288225 72.9416 77.0525
0.294091 72.3034 79.1246
0.274595 74.1436 77.5425
0.290824 72.6979 74.506
0.288798 72.6613 78.768
0.278384 73.2143 76.4258
0.264473 74.7221 80.7628
0.268029 74.359 78.1793
0.275042 73.9342 76.0655
0.29503 72.238 81.5407
0.264825 74.963 79.4295
0.271835 74.2145 81.5612
0.265209 74.5325 79.2988
0.291789 72.6699 75.9391
0.277446 73.8797 80.2563
0.276481 74.0104 81.9822
0.292263 72.2099 76.9241
0.271102 73.9548 79.8484
0.253837 75.9958 78.6373
0.281339 73.4947 76.941
0.26335 75.1752 75.3256
0.29963 71.869 75.2022
0.280447 73.5624 76.8587
0.276545 73.3991 77.9299
0.263701 74.7279 81.1354
0.255159 75.69 76.5093
0.251394 76.1546 80.101
0.273368 73.9966 77.3748
0.277425 73.8973 81.1273
0.271141 74.3781 77.4616
0.275823 73.8076 77.1693
0.275622 73.8782 75.2331
0.27778 74.0026 83.7341
0.267817 74.4857 78.273
0.266569 74.6354 73.6626
0.262635 74.8187 77.8208
0.284602 73.3094 80.9299
0.285252 73.233 78.0153
0.308846 70.995 77.1005
0.271629 73.9484 79.1091
0.26843 74.3939 83.2215
0.251742 76.1372 76.2316
0.275832 73.9101 80.2087
0.268285 74.3104 78.0874
0.278592 73.4174 74.5832
0.286352 73.034 78.1719
0.264792 74.6069 76.0217
0.253966 75.6572 77.5698
0.280958 73.3516 75.7349
0.27116 74.2942 77.2815
0.27553 73.9555 81.0209
0.28482 72.9979 80.4938
0.281173 73.4518 80.3482
0.262412 75.1763 81.8966
0.289113 73.1619 80.5005
0.28064 73.6296 82.4364
0.277021 73.4402 79.7225
0.281906 73.2566 77.7934
0.274243 74.1421 83.7814
0.29929 72.0701 77.8439
0.288069 72.8331 79.8132
0.270669 74.3624 80.3208
0.293615 72.3009 78.1513
0.274053 74.0218 78.5827
0.281469 73.3832 78.4719
0.268272 74.2817 77.9688
0.267172 74.3895 76.1393
0.276889 73.717 80.6758
0.257442 75.427 76.4978
0.26705 74.6233 82.1625
0.270854 74.1898 78.9969
0.275357 73.3919 79.175
0.282682 73.5038 85.8853
0.282761 73.3683 78.5729
0.279114 73.53 80.7582
0.266492 74.6085 78.3535
0.263524 74.8302 77.4387
0.276881 73.9216 79.5316
0.278397 73.6388 79.6714
0.290764 72.7092 80.4907
0.292037 72.5345 78.1434
0.270758 74.3413 80.5776
0.28058 73.5254 82.4837
0.268733 74.9127 83.0283
0.282437 73.1364 78.8096
0.285838 72.95 79.8083
0.280971 73.4035 81.2543
0.286406 73.053 82.7234
0.271486 74.4177 78.4128
0.272699 74.0708 74.5693
0.305217 71.8128 82.3631
0.295514 72.3227 76.1013
0.291991 72.5382 78.8201
0.293779 72.4611 79.2428
0.298302 72.0651 77.7754
0.272912 74.1403 79.5208
0.270232 74.5532 77.9344
0.277905 73.723 77.9628
0.299505 72.1685 82.1118
0.287714 73.1695 78.311
0.285202 72.9469 75.1407
0.26482 74.629 77.5659
0.284667 73.3466 80.1226
0.268745 74.7311 81.2818
0.271273 74.4976 80.366
0.265712 74.68 78.6741
0.283944 73.1137 78.874
0.296595 72.2084 76.8081
0.276737 73.8679 78.3922
0.279058 73.5328 80.2238
0.272923 74.2233 78.5062
0.259229 75.327 82.5807
0.274851 73.9073 77.0736
0.276075 73.9018 77.3614
0.275415 74.1767 78.4227
0.284218 73.309 80.2034
0.267358 74.9052 81.7449
0.259367 75.3844 78.0899
0.267616 74.3862 80.5084
0.280182 73.4602 76.6054
0.276914 73.7643 75.0998
0.278002 73.6435 79.7719
0.286533 73.054 80.6581
0.276992 73.768 77.4217
0.268745 74.7403 81.2103
0.274878 73.8863 76.01
0.302455 71.9425 79.7297
0.278628 73.6991 74.5676
0.278137 73.7414 76.7558
0.287828 73.0666 76.8643
0.30383 71.7491 80.1587
0.281115 73.7214 79.2406
0.258326 75.0668 80.9864
0.283605 73.284 77.5165
0.300391 71.849 79.91
0.282692 72.9737 80.3978
0.281438 73.1169 76.6474
0.281703 73.6565 76.9944
0.290299 72.9957 88.4523
0.282524 73.2091 77.3127
0.286683 72.7519 79.7502
0.271499 74.4638 78.9018
0.259999 75.0652 77.9997
0.29241 72.5848 75.651
0.282621 73.2953 76.6519
0.277497 73.6249 80.0743
0.284302 73.2968 81.1072
0.273636 73.9432 78.3308
0.280155 73.6406 80.3699
0.290462 72.7395 75.93
0.299018 72.087 73.9576
0.29471 72.4697 74.7619
0.298329 71.7989 76.5395
0.255674 75.6737 76.8608
0.280024 73.6441 83.0031
0.275769 73.954 79.4769
0.286171 73.0258 79.4521
0.288501 72.705 77.3507
0.293152 72.6078 78.1808
0.286601 73.2275 79.3224
0.295337 72.3524 79.9238
0.280397 73.3716 77.0914
0.256509 75.3475 80.1199
0.293694 72.5414 77.6027
0.260224 75.336 78.0634
0.290635 72.7278 80.9195
0.283222 73.1263 80.8108
0.300431 71.9874 76.2357
0.277793 73.7812 77.7835
0.285812 73.3044 75.4802
0.27707 73.5589 74.443
0.295261 72.1018 79.7367
0.288594 72.6338 80.1216
0.261262 75.141 78.0043
0.273466 74.3449 75.9969
0.277127 74.0309 76.0788
0.297108 72.1313 77.0147
0.299596 71.9902 79.6704
0.283768 73.112 81.1907
0.275613 73.8585 76.5194
0.260991 75.3543 78.6167
0.27031 74.3518 80.1251
0.290884 72.6651 77.2769
0.277327 73.7749 82.845
0.302276 71.8044 78.3756
0.267752 74.2774 77.7715
0.28683 73.1502 73.5392
0.263229 74.9946 81.1477
0.266994 74.4907 82.5137
0.247926 76.4202 85.188
0.254231 75.7775 78.6459
0.25936 75.0197 80.7578
0.255452 75.6646 76.425
0.28008 73.6567 78.4463
0.284439 73.4143 77.3036
0.269059 74.5972 80.9084
0.275638 73.7692 78.621
0.278109 73.917 79.0911
0.253673 76.0401 77.0121
0.286767 72.7667 78.8856
0.292002 72.556 82.2752
0.284929 73.1535 76.8668
0.287923 72.9201 79.653
0.27024 74.2339 72.2842
0.277485 73.6273 83.9476
0.276329 73.5534 80.0624
0.281177 73.5245 74.373
0.26455 74.475 78.5654
0.303358 71.7879 77.4923
0.282457 73.6211 80.4963
0.27136 73.9336 73.9805
0.276269 73.6983 78.5156
0.274837 73.9302 78.3543
0.281632 73.5276 75.8944
0.258131 75.3657 80.0787
0.266315 74.9245 78.0638
0.260158 75.0111 80.1961
0.261542 75.0583 84.7111
0.268638 74.34 81.8605
0.266733 74.4912 78.3201
0.271958 74.3351 80.0102
0.274286 74.1433 78.996
0.277923 73.7333 77.0705
0.290317 72.649 79.3088
0.251722 76.0964 77.7096
0.267242 74.6088 79.6309
0.253342 75.7949 79.012
0.285376 73.2387 78.481
